record_id,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
61015,CIV,Africa,Cote d'Ivoire,2020-05-03,1362,29,30.286,16,0,0.143,48.366,1.03,1.075,0.568,0,0.005,1.13,,,,,,,,,10796,288,0.393,0.01,358,0.013,0.099,10.1,tests performed,,,,,,,,,,,,,,80.56,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538,2.8160548e+07,,,,
306230,ZMB,Africa,Zambia,2021-08-24,204651,102,317.429,3578,4,5.714,10223.518,5.095,15.857,178.742,0.2,0.285,0.73,,,,,,,,,2.233567e+06,7598,114.7,0.39,6522,0.335,0.048,20.8,tests performed,556766,309532,247234,,4478,4223,2.78,1.55,1.24,,211,201,0.001,43.52,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2,63.89,0.584,2.001767e+07,,,,
281501,TKM,Asia,Turkmenistan,2020-05-26,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,6.430777e+06,,,,
212598,PNG,Oceania,Papua New Guinea,2021-07-08,17308,26,10,179,4,0.714,1706.462,2.563,0.986,17.648,0.394,0.07,0.5,,,,,,,,,,,,,,,,,,,,,,,882,,,,,87,882,0.009,49.07,18.22,22.6,3.808,2.142,3823.194,,561.494,17.65,23.5,48.8,,,64.5,0.555,1.0142625e+07,,,,
141022,KIR,Oceania,Kiribati,2022-11-14,3430,0,0,13,0,0,26135.922,0,0,99.057,0,0,-0,,,,,,,,,,,,,,,,,,182923,93685,70464,18774,,130,139.38,71.39,53.69,14.31,991,0,0,0,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237,,,,
303190,ESH,Africa,Western Sahara,2022-04-20,,,,,,,,,,,,,,,,,,,,,,3943,,6.972,,,,,,tests performed,,,,,,,,,,,,,,,,28.4,,1.38,,,,,,,,,70.26,,576005,,,,
224037,REU,Africa,Reunion,2022-11-02,477959,0,50.857,899,0,0.143,490686.44,0,52.211,922.939,0,0.147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,6.841,,,,,,,,,80.48,,974062,,,,
45472,CMR,Africa,Cameroon,2021-02-09,31394,0,154.429,474,0,0,1124.647,0,5.532,16.98,0,0,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.19,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563,2.7914542e+07,,,,
22464,BGD,Asia,Bangladesh,2021-06-17,841087,3840,2956,13345,63,50.857,4913.283,22.432,17.268,77.956,0.368,0.297,1.42,,,,,,,,,6.268992e+06,24871,37.017,0.147,20203,0.119,0.1463,6.8,tests performed,1.0079471e+07,5.823245e+06,4.256226e+06,,1105,2975,5.89,3.4,2.49,,17,0,0,86.11,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.632,1.7118637e+08,,,,
250691,SVK,Europe,Slovakia,2022-09-03,1.835116e+06,325,228.143,20362,2,2.143,325175.97,57.589,40.426,3608.073,0.354,0.38,0.03,24,4.253,422,74.777,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,5.643455e+06,,,,
